Date,Name of Payee and Complete Mailing Address,Expenditure Type,Purpose,Candidate,Office Sought,Declaration,Amount,In-Kind Description,Account Code,Form of Payment,Amount of Expenditure,Sum To Date,Committee,Committee Id
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,PATTON MEGAN,RALEIGH CITY COUNCIL,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,JONES CHRISTINA,RALEIGH CITY COUNCIL,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,PIERCE ANTHONY,County/Municipal,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,NIEMAN JEFF,DISTRICT ATTY,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,WILLIAMS TODD,DISTRICT ATTY,Support,$55.84,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,CUNNINGHAM CARRIE,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,DAHLE ALLISON,House,Support,$55.84,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,GREER O'SHEA MICHAEL,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,MAY WENDY ELLA,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,VON HAEFEN JULIE,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,KELLY CHRISTINE,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,BUANSI ALLEN,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,CRAWFORD SARAH,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,BAKER AMBER,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,CATALAN DAY CARLA,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,CLARK CHRISTY,House,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,MURDOCK NATALIE,Senate,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,WOODARD MIKE,Senate,Support,$55.84,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
10/20/2022,"DEMOCRATS.COM 3327 80TH ST JACKSON HEIGHTS, NY 11372",Independent Expenditure,DIGITAL ADVERTISING 10/20-10/27,MEYER GRAIG,Senate,Support,$55.83,,CHECKING,Electronic Funds Transfer,1451.62,1451.62,#VOTEPROCHOICE,
