Date,Name of Payee and Complete Mailing Address,Expenditure Type,Purpose,Candidate,Office Sought,Declaration,Amount,In-Kind Description,Account Code,Form of Payment,Amount of Expenditure,Sum To Date,Committee,Committee Id
11/04/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$57.00,,,Electronic Funds Transfer,$285.00,$382.50,ADVANCE NORTH CAROLINA,
11/04/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$57.00,,,Electronic Funds Transfer,$285.00,$382.50,ADVANCE NORTH CAROLINA,
11/04/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$57.00,,,Electronic Funds Transfer,$285.00,$382.50,ADVANCE NORTH CAROLINA,
11/04/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$57.00,,,Electronic Funds Transfer,$285.00,$382.50,ADVANCE NORTH CAROLINA,
11/04/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$57.00,,,Electronic Funds Transfer,$285.00,$382.50,ADVANCE NORTH CAROLINA,
11/05/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$19.50,,,Electronic Funds Transfer,$97.50,$382.50,ADVANCE NORTH CAROLINA,
11/05/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$19.50,,,Electronic Funds Transfer,$97.50,$382.50,ADVANCE NORTH CAROLINA,
11/05/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$19.50,,,Electronic Funds Transfer,$97.50,$382.50,ADVANCE NORTH CAROLINA,
11/05/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$19.50,,,Electronic Funds Transfer,$97.50,$382.50,ADVANCE NORTH CAROLINA,
11/05/2021,"ETHEOPEA BALOGUN ORGANIZER ADVANCE CAROLINA 9951 PONDER LANE APT 304 RALEIGH, NC 27617",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$19.50,,,Electronic Funds Transfer,$97.50,$382.50,ADVANCE NORTH CAROLINA,
11/04/2021,"ZARIEL BALOGUN ORGANIZER ADVANCE CAROLINA 8701 HIDDENVIEW COURT RALEIGH, NC 27613",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$15.00,,,Electronic Funds Transfer,$75.00,$75.00,ADVANCE NORTH CAROLINA,
11/04/2021,"ZARIEL BALOGUN ORGANIZER ADVANCE CAROLINA 8701 HIDDENVIEW COURT RALEIGH, NC 27613",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$15.00,,,Electronic Funds Transfer,$75.00,$75.00,ADVANCE NORTH CAROLINA,
11/04/2021,"ZARIEL BALOGUN ORGANIZER ADVANCE CAROLINA 8701 HIDDENVIEW COURT RALEIGH, NC 27613",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$15.00,,,Electronic Funds Transfer,$75.00,$75.00,ADVANCE NORTH CAROLINA,
11/04/2021,"ZARIEL BALOGUN ORGANIZER ADVANCE CAROLINA 8701 HIDDENVIEW COURT RALEIGH, NC 27613",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$15.00,,,Electronic Funds Transfer,$75.00,$75.00,ADVANCE NORTH CAROLINA,
11/04/2021,"ZARIEL BALOGUN ORGANIZER ADVANCE CAROLINA 8701 HIDDENVIEW COURT RALEIGH, NC 27613",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$15.00,,,Electronic Funds Transfer,$75.00,$75.00,ADVANCE NORTH CAROLINA,
11/02/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$16.00,,,Electronic Funds Transfer,$80.00,$215.26,ADVANCE NORTH CAROLINA,
11/02/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$16.00,,,Electronic Funds Transfer,$80.00,$215.26,ADVANCE NORTH CAROLINA,
11/02/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$16.00,,,Electronic Funds Transfer,$80.00,$215.26,ADVANCE NORTH CAROLINA,
11/02/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$16.00,,,Electronic Funds Transfer,$80.00,$215.26,ADVANCE NORTH CAROLINA,
11/02/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$16.00,,,Electronic Funds Transfer,$80.00,$215.26,ADVANCE NORTH CAROLINA,
11/03/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$13.50,,,Electronic Funds Transfer,$67.50,$215.26,ADVANCE NORTH CAROLINA,
11/03/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$13.50,,,Electronic Funds Transfer,$67.50,$215.26,ADVANCE NORTH CAROLINA,
11/03/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$13.50,,,Electronic Funds Transfer,$67.50,$215.26,ADVANCE NORTH CAROLINA,
11/03/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$13.50,,,Electronic Funds Transfer,$67.50,$215.26,ADVANCE NORTH CAROLINA,
11/03/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$13.50,,,Electronic Funds Transfer,$67.50,$215.26,ADVANCE NORTH CAROLINA,
11/04/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$13.56,,,Electronic Funds Transfer,$67.76,$215.26,ADVANCE NORTH CAROLINA,
11/04/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$13.55,,,Electronic Funds Transfer,$67.76,$215.26,ADVANCE NORTH CAROLINA,
11/04/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$13.55,,,Electronic Funds Transfer,$67.76,$215.26,ADVANCE NORTH CAROLINA,
11/04/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$13.55,,,Electronic Funds Transfer,$67.76,$215.26,ADVANCE NORTH CAROLINA,
11/04/2021,"TAWANDA HESTER ORGANIZER ADVANCE CAROLINA 125 RIVER HILLS DRIVE CLAYTON, NC 27527",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$13.55,,,Electronic Funds Transfer,$67.76,$215.26,ADVANCE NORTH CAROLINA,
11/02/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$21.75,,,Electronic Funds Transfer,$108.75,$206.51,ADVANCE NORTH CAROLINA,
11/02/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$21.75,,,Electronic Funds Transfer,$108.75,$206.51,ADVANCE NORTH CAROLINA,
11/02/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$21.75,,,Electronic Funds Transfer,$108.75,$206.51,ADVANCE NORTH CAROLINA,
11/02/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$21.75,,,Electronic Funds Transfer,$108.75,$206.51,ADVANCE NORTH CAROLINA,
11/02/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$21.75,,,Electronic Funds Transfer,$108.75,$206.51,ADVANCE NORTH CAROLINA,
11/03/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,O'NEAL ELAINE,County/Municipal,Support,$10.50,,,Electronic Funds Transfer,$52.50,$206.51,ADVANCE NORTH CAROLINA,
11/03/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$10.50,,,Electronic Funds Transfer,$52.50,$206.51,ADVANCE NORTH CAROLINA,
11/03/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,DAY JESSICA,County/Municipal,Support,$10.50,,,Electronic Funds Transfer,$52.50,$206.51,ADVANCE NORTH CAROLINA,
11/03/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,BROWN GLORISTINE,County/Municipal,Support,$10.50,,,Electronic Funds Transfer,$52.50,$206.51,ADVANCE NORTH CAROLINA,
11/03/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,HEGGINS AL,County/Municipal,Support,$10.50,,,Electronic Funds Transfer,$52.50,$206.51,ADVANCE NORTH CAROLINA,
11/04/2021,"WANDA HESTER ORGANIZAER ADVANCE CAROLINA 3534 MASSEY POND TRAIL RALEIGH, NC 27616",Independent Expenditure,PHONE BANK,WALL-LENNON BRIDGET,County/Municipal,Support,$9.06,,,Electronic Funds Transfer,$45.26,$206.51,ADVANCE NORTH CAROLINA,
