Date,Name of Payee and Complete Mailing Address,Expenditure Type,Purpose,Candidate,Office Sought,Declaration,Amount,In-Kind Description,Account Code,Form of Payment,Amount of Expenditure,Sum To Date,Committee,Committee Id
02/28/2024,"MARTIN & BLAINE, THE DIFFERENTIATORS LLC PO BOX 17623 RALEIGH, NC 27619",Independent Expenditure,RADIO ADS,WOODARD MIKE,Senate,Support,"$4,377.50",,,Check,4877.5,177441.16,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,CHESSER ALLEN,House,Support,"$3,000.00",,,Check,3000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,ALLEN DAVID,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,EDWARDS HOLLY,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,SCHIEZELT MIKE,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,BRINSON BOB,Senate,Support,"$2,000.00",,,Check,2000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,BROCKMAN CECIL,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,CUNNINGHAM CARLA,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,HUNEYCUTT CODY,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,BRANSON ALAN,House,Support,"$1,000.00",,,Check,1000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,WOODARD MIKE,Senate,Support,"$7,000.00",,,Check,7000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/16/2024,"FACEBOOK 1 HACKER WAY MENLO PARK, CA 94025",Independent Expenditure,DIGITAL ADS,CRUTCHFIELD KEVIN,House,Support,"$3,000.00",,,Check,3000.0,22000.0,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/05/2024,"MARTIN & BLAINE, THE DIFFERENTIATORS LLC PO BOX 17623 RALEIGH, NC 27619",Independent Expenditure,DIRECT MAIL,WOODARD MIKE,Senate,Support,"$12,192.92",,,Check,12192.92,172563.66,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/15/2024,"MARTIN & BLAINE, THE DIFFERENTIATORS LLC PO BOX 17623 RALEIGH, NC 27619",Independent Expenditure,DIRECT MAIL,WOODARD MIKE,Senate,Support,"$12,192.92",,,Check,12192.92,172563.66,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/15/2024,"MARTIN & BLAINE, THE DIFFERENTIATORS LLC PO BOX 17623 RALEIGH, NC 27619",Independent Expenditure,DIRECT MAIL,WOODARD MIKE,Senate,Support,"$12,192.92",,,Check,12192.92,172563.66,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
02/15/2024,"MARTIN & BLAINE, THE DIFFERENTIATORS LLC PO BOX 17623 RALEIGH, NC 27619",Independent Expenditure,DIRECT MAIL,CHESSER ALLEN,House,Support,"$7,952.26",,,Check,7952.27,172563.66,AFFORDABLE HEALTHCARE COALITION OF NORTH CAROLINA,
